UserID,IndexList,UserName,TotalComment,Comment,Reply,LikeCount,ProvinceCode,Description,DescriptionLen,SpecialChar,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,LoyalFan,VipRank
1752904422,[2721],M_Flamenco,1,1,0,1,2,1,11,2,0,13,184,4382,0,0,0
1753133717,[3151],黑暗福音,1,1,0,0,34,1,8,2,1,902,629,25866,0,0,8
1758941842,[949],喵喵喵喵小靓,1,1,0,0,2,1,10,1,0,839,4518,4461,0,0,0
1759553351,[1199],此人核无趣,1,1,0,0,21,1,1,1,1,474,264,94,0,0,0
1760008183,[2331],天意如此Eling,1,1,0,1,12,1,9,0,0,280,364,1160,0,0,0
1763565717,[3086],芙拉_flouri,1,0,1,0,21,1,6,0,0,174,247,6127,0,0,0
1764170893,[1380],快点多谢甘楽哥啦,1,1,0,0,21,1,3,1,1,80,311,701,0,0,0
1765337557,"[2779, 3616, 3619, 3626]",DDDDDlno,4,1,3,0,4,1,13,2,0,265,472,26502,0,0,0
1765720355,[1737],不可思尹_,1,1,0,0,17,1,4,1,0,580,350,456,1,0,6
1767138313,[2059],七夜菌绝赞社畜中,1,1,0,0,22,0,0,0,1,53,94,5,0,0,0
1768190974,[1902],ablettshb,1,1,0,0,12,1,10,1,1,142,1516,36438,0,0,0
1769450433,[1375],还是喜欢七只假爱豆,1,1,0,0,2,1,8,1,0,518,433,11010,0,0,6
1770146494,[3452],亚拉里亚拉亚拉熊,1,1,0,0,21,1,56,6,1,308,837,1947,0,0,0
1770264024,[2437],月司元,1,1,0,0,6,1,8,1,0,255,423,1972,0,0,0
1770643782,[2640],非洲煤球部落酋长叁,1,1,0,1,21,1,11,0,1,378,271,1343,0,0,0
1772103644,[2185],小桃子么,1,1,0,0,12,1,5,1,0,192,416,116,0,0,0
1772616323,[2454],我们没文化的人就是这样的,1,1,0,0,2,1,7,0,0,212,782,9628,0,0,0
1773618260,[1109],Jr_Way,1,1,0,0,12,1,1,2,1,187,498,1457,0,0,0
1775715165,[684],七_弹琴去吧弹自由的琴,1,1,0,0,15,1,8,1,0,171,1741,25500,0,0,0
1775798523,[1362],coco星星星冰乐,1,1,0,0,0,1,16,0,0,1290,1016,1408,0,0,7
1776085693,[1345],chelly丶,1,1,0,0,15,1,12,0,1,137,87,493,0,0,0
1776100951,[3419],ReIKiTsuNeNeGi,1,1,0,6,19,1,44,1,1,537,1214,5160,0,0,0
1776412222,[1862],邪道专家,1,1,0,0,12,1,43,7,1,33099,104,2329,1,0,0
1776648913,[2918],破旧的时光机,1,1,0,0,19,1,16,0,1,583,981,13037,0,0,0
1777101155,[2983],风都侦探菲利普,1,1,0,0,26,1,6,0,1,263,481,1400,0,0,0
1777250395,[2506],_楪_,1,1,0,0,18,1,3,0,1,544,480,893,0,0,0
1777717613,[2742],moeaya,1,1,0,0,4,1,12,8,0,180,529,2597,0,0,3
1778272542,[1929],夜歌-Leiko,1,1,0,0,1,1,7,0,1,202,357,1012,0,0,0
1779617041,[1557],余尧吉,1,1,0,0,12,1,7,0,0,709,1494,4297,0,0,0
1780537350,[780],打喷嚏的鱼丸,1,1,0,0,3,1,15,2,1,2115,1244,23706,0,0,0
1781221147,"[2040, 2041, 2042]",哦啊衣喔了_656,3,0,3,13,19,0,0,0,0,1,106,0,0,0,0
